piece,square_index,square_name,count
B,27,d4,68368
B,28,e4,70735
B,29,f4,239332
B,30,g4,35176
B,31,h4,58933
B,32,a5,15639
B,33,b5,152795
B,34,c5,38664
B,35,d5,71554
B,36,e5,56052
B,37,f5,30274
B,38,g5,228516
B,39,h5,24888
B,40,a6,19719
B,41,b6,17079
B,42,c6,38969
B,43,d6,34701
B,44,e6,30867
B,45,f6,38620
B,46,g6,20645
B,47,h6,50287
B,48,a7,12303
B,49,b7,15840
B,50,c7,17785
B,51,d7,12470
B,52,e7,16676
B,53,f7,22304
B,54,g7,14551
B,55,h7,10811
B,56,a8,9531
B,57,b8,5077
B,58,c8,4657
B,59,d8,6443
B,60,e8,4527
B,61,f8,6776
B,62,g8,4623
B,63,h8,8768
b,0,a1,10604
b,1,b1,4708
b,2,c1,5011
b,3,d1,5945
b,4,e1,4745
b,5,f1,6446
b,6,g1,2950
b,7,h1,7288
b,8,a2,10892
b,9,b2,17682
b,10,c2,16351
b,11,d2,12456
b,12,e2,13389
b,13,f2,15092
b,14,g2,12355
b,15,h2,8570
b,16,a3,18132
b,17,b3,13365
b,18,c3,38806
b,19,d3,29978
b,20,e3,26467
b,21,f3,36632
b,22,g3,15860
b,23,h3,36431
b,24,a4,16204
b,25,b4,135832
b,26,c4,38101
b,27,d4,64855
b,28,e4,55975
b,29,f4,33082
b,30,g4,185083
b,31,h4,29839
b,32,a5,28237
b,33,b5,36679
b,34,c5,284916
b,35,d5,67983
b,36,e5,71474
b,37,f5,189350
b,38,g5,46183
b,39,h5,55351
b,40,a6,84642
b,41,b6,103576
b,42,c6,112925
b,43,d6,344982
b,44,e6,279206
b,45,f6,165601
b,46,g6,96943
b,47,h6,50699
b,48,a7,29076
b,49,b7,549585
b,50,c7,52809
b,51,d7,344869
b,52,e7,673467
b,53,f7,26464
b,54,g7,559543
b,55,h7,19151
b,56,a8,16212
b,57,b8,13174
b,58,c8,2474504
b,59,d8,25675
b,60,e8,23123
b,61,f8,1981139
b,62,g8,3469
b,63,h8,10456
N,0,a1,1702
N,1,b1,1948148
N,2,c1,10120
N,3,d1,19988
N,4,e1,26745
N,5,f1,26154
N,6,g1,1251333
N,7,h1,2530
N,8,a2,11219
N,9,b2,7514
N,10,c2,28627
N,11,d2,394717
N,12,e2,264794
N,13,f2,21153
N,14,g2,12081
N,15,h2,60545
N,16,a3,73177
N,17,b3,75055
N,18,c3,1300653
N,19,d3,37663
N,20,e3,46723
N,21,f3,1801906
N,22,g3,103746
N,23,h3,73727
N,24,a4,55317
N,25,b4,14737
N,26,c4,75246
N,27,d4,177887
N,28,e4,143570
N,29,f4,67486
N,30,g4,33706
N,31,h4,63668
N,32,a5,13874
N,33,b5,87420
N,34,c5,51725
N,35,d5,113412
N,36,e5,186371
N,37,f5,52115
N,38,g5,127817
N,39,h5,18995
N,40,a6,6850
N,41,b6,15569
N,42,c6,37095
N,43,d6,46942
N,44,e6,35039
N,45,f6,28282
N,46,g6,19113
N,47,h6,8621
N,48,a7,8920
N,49,b7,10613
N,50,c7,25310
N,51,d7,14550
N,52,e7,18584
N,53,f7,21973
N,54,g7,7299
N,55,h7,6597
N,56,a8,13839
N,57,b8,2143
N,58,c8,4599
N,59,d8,4890
N,60,e8,4338
N,61,f8,4606
N,62,g8,1823
N,63,h8,11029
n,0,a1,12838
n,1,b1,1889
n,2,c1,3977
n,3,d1,4528
n,4,e1,4049
n,5,f1,3636
n,6,g1,1503
n,7,h1,4952
n,8,a2,7067
n,9,b2,10978
n,10,c2,22119
n,11,d2,13611
n,12,e2,15737
n,13,f2,15408
n,14,g2,6621
n,15,h2,5134
n,16,a3,6772
n,17,b3,15187
n,18,c3,30933
n,19,d3,40522
n,20,e3,30923
n,21,f3,23787
n,22,g3,15145
n,23,h3,8108
n,24,a4,12898
n,25,b4,74826
n,26,c4,54756
n,27,d4,114177
n,28,e4,159364
n,29,f4,55526
n,30,g4,93015
n,31,h4,17622
n,32,a5,68775
n,33,b5,14328
n,34,c5,83786
n,35,d5,158482
n,36,e5,145401
n,37,f5,89726
n,38,g5,25359
n,39,h5,68937
n,40,a6,82614
n,41,b6,92554
n,42,c6,1154007
n,43,d6,35541
n,44,e6,42896
n,45,f6,1478894
n,46,g6,116249
n,47,h6,80711
n,48,a7,14278
n,49,b7,12003
n,50,c7,29324
n,51,d7,447115
n,52,e7,298159
n,53,f7,23689
n,54,g7,15074
n,55,h7,43180
n,56,a8,2364
n,57,b8,1819510
n,58,c8,12166
n,59,d8,19190
n,60,e8,32209
n,61,f8,25650
n,62,g8,1607673
n,63,h8,2859
P,0,a1,0
P,1,b1,0
P,2,c1,0
P,3,d1,0
P,4,e1,0
P,5,f1,0
P,6,g1,0
P,7,h1,0
P,8,a2,4865310
P,9,b2,4434956
P,10,c2,3085190
P,11,d2,998949
P,12,e2,628494
P,13,f2,4680598
P,14,g2,4990337
P,15,h2,4840519
P,16,a3,1229747
P,17,b3,960643
P,18,c3,1333304
P,19,d3,1117089
P,20,e3,1099837
P,21,f3,709400
P,22,g3,1211940
P,23,h3,1557994
P,24,a4,581320
P,25,b4,679190
P,26,c4,1029243
P,27,d4,1923921
P,28,e4,2111587
P,29,f4,777355
P,30,g4,501665
P,31,h4,486301
P,32,a5,152592
P,33,b5,218005
P,34,c5,275496
P,35,d5,545103
P,36,e5,755736
P,37,f5,203719
P,38,g5,192892
P,39,h5,148239
P,40,a6,49028
P,41,b6,38881
P,42,c6,53226
P,43,d6,71106
P,44,e6,56316
P,45,f6,56294
P,46,g6,38638
P,47,h6,55239
P,48,a7,20921
P,49,b7,16627
P,50,c7,16415
P,51,d7,17719
P,52,e7,14604
P,53,f7,12997
P,54,g7,12937
P,55,h7,16659
P,56,a8,0
P,57,b8,0
P,58,c8,0
P,59,d8,0
P,60,e8,0
P,61,f8,0
P,62,g8,0
P,63,h8,0
p,0,a1,0
p,1,b1,0
p,2,c1,0
p,3,d1,0
p,4,e1,0
p,5,f1,0
p,6,g1,0
p,7,h1,0
p,8,a2,19540
p,9,b2,16635
p,10,c2,16930
p,11,d2,15795
p,12,e2,12990
p,13,f2,11949
p,14,g2,11484
p,15,h2,14258
p,16,a3,47747
p,17,b3,39533
p,18,c3,50034
p,19,d3,53612
p,20,e3,43853
p,21,f3,43643
p,22,g3,34172
p,23,h3,49950
p,24,a4,163823
p,25,b4,230570
p,26,c4,299324
p,27,d4,407479
p,28,e4,366983
p,29,f4,203048
p,30,g4,169133
p,31,h4,132931
p,32,a5,551297
p,33,b5,782206
p,34,c5,1051446
p,35,d5,1646216
p,36,e5,1539968
p,37,f5,641666
p,38,g5,498620
p,39,h5,462759
p,40,a6,1377684
p,41,b6,1150508
p,42,c6,1342683
p,43,d6,1428205
p,44,e6,1972036
p,45,f6,725043
p,46,g6,1539238
p,47,h6,1466559
p,48,a7,4730628
p,49,b7,4032642
p,50,c7,2950650
p,51,d7,1267515
p,52,e7,1000955
p,53,f7,4779551
p,54,g7,4679484
p,55,h7,4948443
p,56,a8,0
p,57,b8,0
p,58,c8,0
p,59,d8,0
p,60,e8,0
p,61,f8,0
p,62,g8,0
p,63,h8,0
